Commodity_ID,Country_Name,HS_Code,HS_Suffix,HS_Version,Description,Short_Description,CommodityClass_Name,CommodityClass_Code,shared_group_code,Country_Code
"2142","United States of America","","","","Biodiesel, fuel comprised of mono-alkyl esters of long chain fatty acids derived from renewable resources and meeting the requirements of ASTM specification D6751, or a diesel fuel substitute produced from non-petroleum renewable resources such as vegetab","Biodiesel","Biodiesel","6","","259"
"2143","United States of America","","","","Biodiesel, motor vehicle fuel derived from vegetable oil, animal fat, or other non-petroleum resources, that is designated as B100 and complies with ASTM specification D6751.","Biodiesel","Biodiesel","6","","259"
"2144","United States of America","","","","Biomass-based Biodiesel, biodiesel with GHG savings >50%","Biomass-based diesel","Biodiesel","6","","259"
"2145","United States of America","","","","Cellulosic Biofuel, lignocellulosic biofuel with GHG saving >60%","Cellulosic biofuel","Biofuel (unspecified)","7","","259"
"2146","United States of America","","","","Cellulosic biofuel includes fuel derived from cellulose, hemicellulose, or lignin derived from renewable biomass that yields at least a 60% reduction in lifecycle greenhouse gas (GHG) emissions relative to the average lifecycle GHG emissions for petroleum","Cellulosic biofuel","Biofuel (unspecified)","7","","259"
"2147","United States of America","","","","Cellulosic ethanol","Cellulosic ethanol","Ethanol","5","","259"
"2148","United States of America","","","","Cellulosic-based ethanol that meets ASTM specification D4806.","Cellulosic-based ethanol","Ethanol","5","","259"
"2149","United States of America","","","","Corn-based ethanol","Corn-based ethanol","Ethanol","5","","259"
"2150","United States of America","","","","Denatured ethanol.","Denatured ethanol","Ethanol","5","","259"
"2151","United States of America","","","","Ethanol","Ethanol","Ethanol","5","","259"
"2152","United States of America","","","","Ethanol denatured, 99% pure, distilled from cereal grains.","Ethanol","Ethanol","5","","259"
"2153","United States of America","","","","Ethanol is defined an ethyl alcohol that has a purity of at least 99%, exclusive of added denaturants; meets U.S. Bureau of Alcohol, Tobacco, Firearms, and Explosives and ASTM specification D4806.","Ethanol","Ethanol","5","","259"
"2154","United States of America","","","","Ethanol that meet ASTM specification D4806.","Ethanol","Ethanol","5","","259"
"2155","United States of America","","","","Ethanol, E10","Ethanol, E10","Ethanol","5","","259"
"2156","United States of America","","","","Ethanol, E15","Ethanol, E15","Ethanol","5","","259"
"2157","United States of America","","","","Ethanol, E15 or lower blends","Ethanol, E15 or lower blends","Ethanol","5","","259"
"2158","United States of America","","","","Ethanol, E70 and higher blends. Ethanol defined as denatured ethanol fuel that is suitable for use in a spark-ignition engine when mixed with gasoline and must meet ASTM D5798 specification.","Ethanol, E70 and higher blends","Ethanol","5","","259"
"2159","United States of America","","","","Ethanol, E70-E90","Ethanol, E70-E90","Ethanol","5","","259"
"2160","United States of America","","","","Ethanol, E85","Ethanol, E85","Ethanol","5","","259"
"2161","United States of America","","","","Ethanol, fuel that is derived from an agricultural source and that meets ASTM specification D4806.","Ethanol","Ethanol","5","","259"
"2162","United States of America","","","","Ethanol, specified as ethyl tertiary butyl ether.","Ethanol","Ethanol","5","","259"
"2163","United States of America","","","","Renewable diesel is defined as liquid fuel derived from biomass that meets EPA's fuel registration requirements and ASTM specifications D975 or D396; the definition of renewable diesel does not include any fuel derived from co-processing biomass with a fe","Renewable diesel","Biodiesel","6","","259"
"2164","United States of America","","","","Renewable diesel, diesel fuel that is derived predominantly from renewable biomass and yields at least a 50% reduction in lifecycle greenhouse gas (GHG) emissions relative to the average lifecycle GHG emissions for petroleum-based diesel fuel sold in 2005","Renewable diesel","Biodiesel","6","","259"
"2165","United States of America","","","","Renewable fuel, includes all types of biofuel","Renewable fuel","Biofuel (unspecified)","7","","259"
"2247","Viet Nam","","","","Bio-fuel, traditional petrol mixed with a certain amount of ethanol","Ethanol","Ethanol","5","","264"
"2248","Viet Nam","","","","Ethanol","Ethanol","Ethanol","5","","264"
"2370","","220710","","HS2007","Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol. or higher; ethyl alcohol and other spirits, denatured, of any strength - Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol. or higher","Undenatured ethyl alcohol, of actual alcoholic strength of >= 80%","Ethanol","5","",""
"2371","","220710","","HS2012","Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol. or higher; ethyl alcohol and other spirits, denatured, of any strength - Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol. or higher","Undenatured ethyl alcohol, of actual alcoholic strength of >= 80%","Ethanol","5","",""
"2372","","220720","","HS2007","Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol. or higher; ethyl alcohol and other spirits, denatured, of any strength - Ethyl alcohol and other spirits, denatured, of any strength","Denatured ethyl alcohol and other spirits of any strength","Ethanol","5","",""
"2373","","220720","","HS2012","Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol. or higher; ethyl alcohol and other spirits, denatured, of any strength - Ethyl alcohol and other spirits, denatured, of any strength","Denatured ethyl alcohol and other spirits of any strength","Ethanol","5","",""
"2374","","382600","","HS2012","Biodiesel and mixtures thereof, not containing or containing less than 70 % by weight of petroleum oils or oils obtained from bituminous minerals","Biodiesel and mixtures thereof, not containing or containing < 70 % by weight of petroleum oils or oils obtained from bituminous minerals","Biodiesel","6","",""
"2375","Brazil","22071000","","HS2012","Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol. or higher","Undenatured ethyl alcohol of an alcoholic strength of 80% vol or higher","Ethanol","5","","37"
"2376","Brazil","22072010","","HS2012","Ethyl alcohol and Other spirits, denatured, of any strength","Ethyl alcohol and other spirits, denatured, of any strength","Ethanol","5","","37"
"2389","France","22071000","","HS2012","Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol. or higher","Undenatured ethyl alcohol of an alcoholic strength of 80% vol or higher","Ethanol","5","","85"
"2390","France","22072000","","HS2012","Ethyl alcohol and Other spirits, denatured, of any strength","Ethyl alcohol and other spirits, denatured, of any strength","Ethanol","5","","85"
"2391","France","38260010","","HS2012","Biodiesel and mixtures thereof, not containing or containing less than 70 % by weight of petroleum oils or oils obtained from bituminous minerals - Fatty-acid mono-alkyl esters, containing by volume 96,5 % or more of esters (FAMAE)","(-) Fatty-acid mono-alkyl esters, containing by volume 96,5% or more of esters (FAMAE)","Biodiesel","6","","85"
"2392","Russian Federation","","","","Alcohol produced from food raw materials, excluding denatured ethyl alcohol","Ethanol","Ethanol","5","","204"
"2393","China","","","","Second generation cellulosic ethanol","Second generation cellulosic ethanol","Ethanol","5","","53"
"2394","China","","","","Fuel ethanol based on non-grain feedstocks","Non-grain based ethanol","Ethanol","5","","53"
"2395","Argentina","","","","Cane-based ethanol","Cane-based ethanol","Ethanol","5","","12"
"2398","Argentina","","","","Corn-based ethanol","Corn-based ethanol","Ethanol","5","","12"
"2400","Nigeria","","","","Biodiesel","Biodiesel","Biodiesel","6","","182"
"2401","Germany","","","","Cellulosic ethanol","Cellulosic ethanol","Ethanol","5","","93"
"2402","Russian Federation","","","","Alcohol produced from non-food raw materials, excluding denatured ethyl alcohol","Ethanol","Ethanol","5","","204"
