commodity_id,country_name,hs_code,hs_suffix,hs_version,description,short_description,commodityclass_name,commodityclass_code,shared_group_code,country_code
"2325","China","1102901901","","HS2007","Shien rice (long grain non-glutinous rice flour)","(-) Shien rice (long grain, non-glutinous rice) flour","Rice","2","","53"
"2327","China","1102901990","","HS2007","Shien rice (long grain non-glutinous rice flour)","(-) Shien rice (long grain, non-glutinous rice) flour","Rice","2","","53"
"2328","China","11029090","","HS2007","Cereal flours","(-) Other cereal flour","Rice","2","","53"
"2329","China","11031100","","HS2012","Cereal groats, meal and pellets. - Groats and meal : -- Of wheat.","(-) Groats and meal of wheat","Wheat","1","","53"
"2330","China","1103110001","","HS2007","Wheat groats and meal","(-) Groats and meal of wheat","Wheat","1","","53"
"2331","China","1103110090","","HS2007","Wheat groats and meal","(-) Groats and meal of wheat","Wheat","1","","53"
"2332","China","11031300","","HS2012","Cereal groats, meal and pellets. - Groats and meal : -- Of maize (corn).","(-) Groats and meal of maize (corn)","Maize","3","","53"
"2333","China","1103130001","","HS2007","Maize (corn) groats and meal","(-) Groats and meal of maize (corn)","Maize","3","","53"
"2334","China","1103130090","","HS2007","Maize (corn) groats and meal","(-) Groats and meal of maize (corn)","Maize","3","","53"
"2335","China","11031910","","HS2007","Shien rice (long grain non-glutinous rice) groats and meal","(-) Groats and meal of Shien rice (long grain, non-glutinous rice)","Rice","2","","53"
"2336","China","11031910","","HS2012","Shien rice (long grain non-glutinous rice) groats and meal","(-) Groats and meal of Shien rice (long grain, non-glutinous rice)","Rice","2","","53"
"2337","China","11031921","","HS2012","Cereal groats, meal and pellets. - Groats and meal : -- Of other cereals. --- Of rice: ---- Of long grain.","(-) Groats and meal of long grain rice","Rice","2","","53"
"2338","China","1103192101","","HS2007","Shien rice (long grain non-glutinous rice) groats and meal","(-) Groats and meal of Shien rice (long grain, non-glutinous rice)","Rice","2","","53"
"2339","China","1103192190","","HS2007","Shien rice (long grain non-glutinous rice) groats and meal","(-) Groats and meal of Shien rice (long grain, non-glutinous rice)","Rice","2","","53"
"2340","China","11031929","","HS2012","Cereal groats, meal and pellets. - Groats and meal : -- Of other cereals. --- Of rice: ---- Other.","(-) Groats and meal of rice","Rice","2","","53"
"2341","China","1103192901","","HS2007","Shien rice (long grain non-glutinous rice) groats and meal","(-) Groats and meal of Shien rice (long grain, non-glutinous rice)","Rice","2","","53"
"2342","China","1103192990","","HS2007","Shien rice (long grain non-glutinous rice) groats and meal","(-) Groats and meal of Shien rice (long grain, non-glutinous rice)","Rice","2","","53"
"2343","China","11031990","","HS2007","Shien rice (long grain non-glutinous rice) groats and meal","(-) Groats and meal of Shien rice (long grain, non-glutinous rice)","Rice","2","","53"
"2344","China","11041910","","HS2007","Rolled or flaked maize","(-) Rolled or flaked grains of maize (corn)","Maize","3","","53"
"2345","China","1104199010","","HS2007","Rolled or flaked maize","(-) Rolled or flaked grains of maize (corn)","Maize","3","","53"
"2346","China","11042300","","HS2012","Cereal grains otherwise worked (for example, hulled, rolled, flaked, pearled, sliced or kibbled), except rice of heading 10.06; germ of cereals, whole, rolled, flaked or ground. - Other worked grains (for example, hulled, pearled, sliced or kibbled): -- O","(-) Other worked grains (e.g. hulled, pearled, sliced or kibbled) of maize (corn)","Maize","3","","53"
"2347","China","1104230001","","HS2007","Maize (corn) otherwise worked","(-) Other worked grains (e.g. hulled, pearled, sliced or kibbled) of maize (corn)","Maize","3","","53"
"2348","China","1104230090","","HS2007","Maize (corn) otherwise worked","(-) Other worked grains (e.g. hulled, pearled, sliced or kibbled) of maize (corn)","Maize","3","","53"
"2349","China","11081200","","HS2012","Starches; inulin. - Starches : -- Maize (corn) starch.","(-) Starches of maize (corn)","Maize","3","","53"
"2350","China","1108120000","","HS2007","Starches; inulin. - Starches : -- Maize (corn) starch.","(-) Starches of maize (corn)","Maize","3","","53"
"2351","China","11081200001","","HS2007","Starches; inulin. - Starches : -- Maize (corn) starch.","(-) Starches of maize (corn)","Maize","3","","53"
"2352","China","11081200002","","HS2007","Starches; inulin. - Starches : -- Maize (corn) starch.","(-) Starches of maize (corn)","Maize","3","","53"
"2353","Argentina","12010401","","HS2007","Soya beans","Soya beans","Soybeans","4","","12"
"2354","Argentina","15070100","","HS2007","Crude soya-bean oil","(-) Crude oil of soya-bean","Soybeans","4","","12"
"2356","Argentina","15071000","","HS2007","Soya-bean oil and its fractions, whether or not refined, but not chemically modified. - Crude oil, whether or not degummed. -- No suministrada.","(-) Crude oil of soya-bean. No suministrada","Soybeans","4","","12"
"2357","Argentina","15071201","","HS2007","Crude maize (corn) oil","(-) Crude maize oil","Maize","3","","12"
"2358","Argentina","15079000","","HS2012","Soya-bean oil and its fractions, whether or not refined, but not chemically modified","(-) Other","Soybeans","4","","12"
"2359","Argentina","15079011","","HS2007","Soya-bean oil and its fractions, whether or not refined, but not chemically modified. - Other. -- Refinado. --- En envases con capacidad inferior o igual a 5 l.","Soya-bean oil and its fractions (-). Refinado, en envases con capacidad inferior o igual a 5 l","Soybeans","4","","12"
"2360","Argentina","15079019","","HS2007","Soya-bean oil and its fractions, whether or not refined, but not chemically modified. - Other. -- Other. --- Los demás.","Soya-bean oil and its fractions (-). Los demás","Soybeans","4","","12"
"2361","Argentina","15079090","","HS2007","Soya-bean oil and its fractions, whether or not refined, but not chemically modified. - Other. -- Other. --- Los demás.","Soya-bean oil and its fractions (-). Los demás","Soybeans","4","","12"
"2362","Argentina","19053100","","HS2007","Prepared foods obtained by the swelling or roasting of cereals or cereal products (for example, corn flakes); cereals (other than maize (corn)) in grain form or in the form of flakes or other worked grains (except flour, groats and meal), pre-cooked, or o","Pre-cooked or otherwise prepared grains, flakes or other worked grains - Bulgur wheat. - Galletitas dulces (elaboradas exclusivamente con harina de Trigo)","Wheat","1","","12"
"2363","Argentina","19059020","","HS2007","Prepared foods obtained by the swelling or roasting of cereals or cereal products (for example, corn flakes); cereals (other than maize (corn)) in grain form or in the form of flakes or other worked grains (except flour, groats and meal), pre-cooked, or o","Pre-cooked or otherwise prepared grains, flakes or other worked grains - Galletitas (elaboradas exclusivamente con harina de Trigo)","Wheat","1","","12"
"2364","Argentina","19059090","","HS2007","Prepared foods obtained by the swelling or roasting of cereals or cereal products (for example, corn flakes); cereals (other than maize (corn)) in grain form or in the form of flakes or other worked grains (except flour, groats and meal), pre-cooked, or o","Pre-cooked or otherwise prepared grains, flakes or other worked grains. Other","Wheat","1","","12"
"2365","Argentina","23020013","","HS2007","Brans, sharps and other residues of other cereals","Bran, sharps and other residues derived from the sifting, milling or other working of other cereals","Maize + Wheat","8","","12"
"2406","","1001","","HS2012","Wheat and meslin","Wheat and meslin","Wheat","1","",""
"2445","","100640","","HS2007","Rice. - Broken rice.","Broken rice","Rice","2","",""
